,symbole,date,open,high,low,close,volume,adjclose
0,AAPL,2021-02-26,124.68000030517578,126.45850372314453,120.76000213623047,122.96929931640625,93168417,122.96929931640625
1,AAPL,2021-02-24,124.94000244140625,125.55999755859375,122.2300033569336,125.3499984741211,110691500,125.3499984741211
2,AAPL,2021-02-23,123.76000213623047,126.70999908447266,118.38999938964844,125.86000061035156,157859100,125.86000061035156
0,AMZN,2021-02-26,3136.739990234375,3178.260009765625,3069.347900390625,3102.6298828125,2625489,3102.6298828125
1,AMZN,2021-02-24,3166.75,3171.22998046875,3125.3798828125,3159.530029296875,3003000,3159.530029296875
2,AMZN,2021-02-23,3127.030029296875,3204.72998046875,3093.60009765625,3194.5,4669500,3194.5
0,GOOG,2021-02-26,2067.449951171875,2094.8798828125,2021.2900390625,2048.909912109375,1013239,2048.909912109375
1,GOOG,2021-02-24,2041.8299560546875,2100.780029296875,2038.1300048828125,2095.169921875,1247400,2095.169921875
2,GOOG,2021-02-23,2025.010009765625,2082.010009765625,2002.02001953125,2070.860107421875,1666500,2070.860107421875
0,GOOGL,2021-02-26,2055.929931640625,2083.0,2006.489990234375,2033.6800537109375,1232911,2033.6800537109375
1,GOOGL,2021-02-24,2030.0400390625,2088.320068359375,2027.530029296875,2083.81005859375,1129300,2083.81005859375
2,GOOGL,2021-02-23,2013.989990234375,2072.5,1990.22998046875,2060.1201171875,1732200,2060.1201171875
0,FB,2021-02-26,262.29998779296875,266.94000244140625,255.60000610351562,258.0,11629206,258.0
1,FB,2021-02-24,262.3299865722656,266.3800048828125,258.3900146484375,264.30999755859375,15698600,264.30999755859375
2,FB,2021-02-23,259.5,267.4599914550781,254.9600067138672,265.8599853515625,21905400,265.8599853515625
0,TSLA,2021-02-26,726.1500244140625,737.2000122070312,683.6099853515625,703.0960083007812,27433937,703.0960083007812
1,TSLA,2021-02-24,711.8499755859375,745.0,694.1699829101562,742.02001953125,36677100,742.02001953125
2,TSLA,2021-02-23,662.1300048828125,713.6099853515625,619.0,698.8400268554688,66397000,698.8400268554688
0,BABA,2021-02-26,250.0,250.32000732421875,241.66000366210938,243.3800048828125,11903084,243.3800048828125
1,BABA,2021-02-24,252.0,252.0,248.10000610351562,250.33999633789062,12803800,250.33999633789062
2,BABA,2021-02-23,247.30999755859375,254.89999389648438,241.6199951171875,252.75,15970700,252.75
0,TSM,2021-02-26,131.52000427246094,131.52999877929688,126.19000244140625,128.1300048828125,8914086,128.1300048828125
1,TSM,2021-02-24,129.50999450683594,132.3800048828125,127.68000030517578,132.3000030517578,12765800,132.3000030517578
2,TSM,2021-02-23,129.10000610351562,131.74000549316406,125.37999725341797,129.10000610351562,18419800,129.10000610351562
0,V,2021-02-26,219.2899932861328,220.44500732421875,212.61000061035156,216.00999450683594,6057199,216.00999450683594
1,V,2021-02-24,212.36000061035156,220.52999877929688,211.2899932861328,219.42999267578125,12005100,219.42999267578125
2,V,2021-02-23,207.39999389648438,213.91000366210938,206.5500030517578,212.11000061035156,10568500,212.11000061035156
0,JPM,2021-02-26,154.27000427246094,154.89999389648438,150.75,152.44000244140625,12316024,152.44000244140625
1,JPM,2021-02-24,150.11000061035156,153.75999450683594,150.11000061035156,153.25999450683594,15055000,153.25999450683594
2,JPM,2021-02-23,151.50999450683594,152.30999755859375,149.58999633789062,150.61000061035156,16226600,150.61000061035156
0,JNJ,2021-02-26,163.1300048828125,163.6999969482422,162.0749969482422,162.6300048828125,5245548,162.6300048828125
1,JNJ,2021-02-24,162.39999389648438,164.38999938964844,160.9199981689453,162.58999633789062,10263900,162.58999633789062
2,JNJ,2021-02-23,161.47999572753906,163.19000244140625,160.39999389648438,160.44000244140625,7040900,160.44000244140625
0,WMT,2021-02-26,133.10000610351562,134.0,132.08999633789062,132.24000549316406,6721842,132.24000549316406
1,WMT,2021-02-24,135.8699951171875,136.16000366210938,133.0500030517578,133.2100067138672,15491100,133.2100067138672
2,WMT,2021-02-23,137.11000061035156,137.38999938964844,135.05999755859375,135.47000122070312,10422600,135.47000122070312
0,MA,2021-02-26,364.55999755859375,367.19000244140625,353.90679931640625,358.82000732421875,3183463,358.82000732421875
